UserId	二级品类	会员创建日期	留存率分组	省	省市	销售日期	销售量
37611556974	喂养器具	2013/3/9 星期六 10:30:16	高留存率	SH	SH	2013/3/9 星期六	1
87411559055	喂养器具	2013/3/9 星期六 16:03:08	高留存率	SH	SH	2013/6/30 星期日	1
53711559621	喂养器具	2013/3/9 星期六 17:24:43	高留存率	SH	SH	2013/3/9 星期六	1
53711559621	喂养器具	2013/3/9 星期六 17:24:43	高留存率	SH	SH	2013/3/9 星期六	1
53711559621	喂养器具	2013/3/9 星期六 17:24:43	高留存率	SH	SH	2013/11/7 星期四	1
53711559621	喂养器具	2013/3/9 星期六 17:24:43	高留存率	SH	SH	2013/11/7 星期四	1
32611560420	喂养器具	2013/3/9 星期六 20:36:24	高留存率	SH	SH	2013/6/17 星期一	1
32611560420	喂养器具	2013/3/9 星期六 20:36:24	高留存率	SH	SH	2013/7/31 星期三	1
85011562901	喂养器具	2013/3/10 星期日 15:39:22	高留存率	SH	SH	2013/8/8 星期四	1
85011562901	喂养器具	2013/3/10 星期日 15:39:22	高留存率	SH	SH	2013/8/8 星期四	1
45211563493	喂养器具	2013/3/10 星期日 16:56:55	高留存率	SH	SH	2013/3/17 星期日	1
45211563493	喂养器具	2013/3/10 星期日 16:56:55	高留存率	SH	SH	2014/1/27 星期一	1
46711565842	喂养器具	2013/3/11 星期一 15:05:33	高留存率	SH	SH	2013/11/13 星期三	1
46711565842	喂养器具	2013/3/11 星期一 15:05:33	高留存率	SH	SH	2013/7/4 星期四	1
46711565842	喂养器具	2013/3/11 星期一 15:05:33	高留存率	SH	SH	2013/7/11 星期四	1
46711565842	喂养器具	2013/3/11 星期一 15:05:33	高留存率	SH	SH	2013/7/4 星期四	1
46711565842	喂养器具	2013/3/11 星期一 15:05:33	高留存率	SH	SH	2013/9/18 星期三	1
87611566165	喂养器具	2013/3/11 星期一 16:10:51	高留存率	SH	SH	2013/3/11 星期一	1
91511566627	喂养器具	2013/3/11 星期一 17:51:16	高留存率	SH	SH	2013/4/29 星期一	0
91511566627	喂养器具	2013/3/11 星期一 17:51:16	高留存率	SH	SH	2013/12/1 星期日	1
91511566627	喂养器具	2013/3/11 星期一 17:51:16	高留存率	SH	SH	2013/12/1 星期日	1
36611567250	喂养器具	2013/3/12 星期二 17:03:11	高留存率	SH	SH	2013/6/17 星期一	1
36611567250	喂养器具	2013/3/12 星期二 17:03:11	高留存率	SH	SH	2013/8/10 星期六	1
94211567610	喂养器具	2013/3/12 星期二 10:56:09	高留存率	SH	SH	2014/2/4 星期二	1
94211567610	喂养器具	2013/3/12 星期二 10:56:09	高留存率	SH	SH	2013/9/15 星期日	1
94211567610	喂养器具	2013/3/12 星期二 10:56:09	高留存率	SH	SH	2013/9/15 星期日	1
94211567610	喂养器具	2013/3/12 星期二 10:56:09	高留存率	SH	SH	2014/2/19 星期三	1
94211567610	喂养器具	2013/3/12 星期二 10:56:09	高留存率	SH	SH	2013/11/16 星期六	1
94211567610	喂养器具	2013/3/12 星期二 10:56:09	高留存率	SH	SH	2013/11/16 星期六	1
74011573393	喂养器具	2013/3/12 星期二 18:44:17	高留存率	SH	SH	2013/3/23 星期六	1
74011573393	喂养器具	2013/3/12 星期二 18:44:17	高留存率	SH	SH	2013/7/7 星期日	1
74011573393	喂养器具	2013/3/12 星期二 18:44:17	高留存率	SH	SH	2014/7/17 星期四	1
74011573393	喂养器具	2013/3/12 星期二 18:44:17	高留存率	SH	SH	2014/2/12 星期三	1
74011573393	喂养器具	2013/3/12 星期二 18:44:17	高留存率	SH	SH	2013/7/7 星期日	1
74011573393	喂养器具	2013/3/12 星期二 18:44:17	高留存率	SH	SH	2013/3/12 星期二	1
74011573393	喂养器具	2013/3/12 星期二 18:44:17	高留存率	SH	SH	2013/3/12 星期二	1
23811573856	喂养器具	2013/3/12 星期二 21:15:24	高留存率	SH	SH	2013/3/12 星期二	1
19111574913	喂养器具	2013/3/13 星期三 13:20:02	高留存率	SH	SH	2013/3/13 星期三	1
19111574913	喂养器具	2013/3/13 星期三 13:20:02	高留存率	SH	SH	2013/3/13 星期三	1
62411583001	喂养器具	2013/3/16 星期六 10:39:32	高留存率	SH	SH	2013/5/26 星期日	1
62411583001	喂养器具	2013/3/16 星期六 10:39:32	高留存率	SH	SH	2013/5/26 星期日	1
98711585853	喂养器具	2013/3/16 星期六 18:00:11	高留存率	SH	SH	2013/4/20 星期六	1
98711585853	喂养器具	2013/3/16 星期六 18:00:11	高留存率	SH	SH	2013/3/25 星期一	1
98711585853	喂养器具	2013/3/16 星期六 18:00:11	高留存率	SH	SH	2013/5/21 星期二	1
3011588814	喂养器具	2013/3/17 星期日 15:23:21	高留存率	SH	SH	2014/5/1 星期四	1
3011588814	喂养器具	2013/3/17 星期日 15:23:21	高留存率	SH	SH	2014/5/1 星期四	1
43711592634	喂养器具	2013/3/18 星期一 18:16:19	高留存率	SH	SH	2013/7/21 星期日	1
43711592634	喂养器具	2013/3/18 星期一 18:16:19	高留存率	SH	SH	2013/4/2 星期二	1
23311605914	喂养器具	2013/3/22 星期五 15:39:36	高留存率	SH	SH	2013/3/26 星期二	1
23311605914	喂养器具	2013/3/22 星期五 15:39:36	高留存率	SH	SH	2013/3/30 星期六	1
23311605914	喂养器具	2013/3/22 星期五 15:39:36	高留存率	SH	SH	2013/3/30 星期六	1
1811611404	喂养器具	2013/3/24 星期日 11:08:15	高留存率	SH	SH	2013/7/7 星期日	1
1811611404	喂养器具	2013/3/24 星期日 11:08:15	高留存率	SH	SH	2013/4/23 星期二	1
1811611404	喂养器具	2013/3/24 星期日 11:08:15	高留存率	SH	SH	2013/9/30 星期一	1
60311613805	喂养器具	2013/3/24 星期日 17:30:42	高留存率	SH	SH	2014/3/13 星期四	1
58211613928	喂养器具	2013/3/24 星期日 17:53:14	高留存率	SH	SH	2013/3/24 星期日	3
